GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRDUN,G18GOVDBEG,G18GOVLTOI,G18GOVIWAL,G18GOVOWRI,G18HALRYOU,G18HALDGAL,G18HALOWRI
0201337-700,02,013,37-700,44,56,5,4,0,68,39,0
0201337-712,02,013,37-712,8,10,0,0,0,7,7,0
0201337-720,02,013,37-720,73,68,4,6,0,118,37,0
0201337-744,02,013,37-744,88,107,8,16,0,157,56,0
0201637-704,02,016,37-704,13,13,0,6,0,16,17,0
0201637-706,02,016,37-706,316,413,13,32,1,353,412,2
0201637-750,02,016,37-750,5.999999999999999,18.000000000000004,0,2.9999999999999996,0,18.000000000000004,9.000000000000002,0
0201637-752,02,016,37-752,24,109,7.000000000000001,3,1,90.00000000000001,56.00000000000001,0
0202012-225,02,020,12-225,705.8748258796836,381.44023499271935,17.877811416437332,8.968624732632104,4.958237930889874,699.8498607219923,410.30437781609714,1.9926801274338775
0202012-230,02,020,12-230,1180.810521875815,481.80228651789105,27.644393488731456,15.796796279275117,0.9872997674546948,1160.0772267592665,546.9640711699009,2.9618993023640843
0202012-233,02,020,12-233,520,222,11,8,0,542,215,0
0202013-235,02,020,13-235,488.72580988394577,184.51892822148974,12.966194956104685,9.973996120080526,0,480.74661298788135,207.45911929767496,3.989598448032211
0202013-240,02,020,13-240,823,375,23,24,2,823,413,4
0202013-245,02,020,13-245,426.67042466582,228.5278721080541,23.543185595227367,5.95286331580762,1.2201383073968985,419.82369414414234,265.40156948153,7.249944751059901
0202013-250,02,020,13-250,809,424,21,19,5,773,492,3
0202013-255,02,020,13-255,632,304,14,18,0,625,339,2
0202013-260,02,020,13-260,58.10219806893933,101.67884662064382,1.815693689654354,7.262774758617416,0.907846844827177,68.08851336203828,98.95530608616228,0.907846844827177
0202014-940,02,020,14-940,731,426,27,23,5,745,460,4
0202014-945,02,020,14-945,535,311,21,11,1,537,340,7
0202014-950,02,020,14-950,817,479,27,14,2,822,509,3
0202014-955,02,020,14-955,332.79706877113864,171.25366403607666,11.47576099210823,3.531003382187148,1.765501691093574,324.8523111612176,190.67418263810598,1.765501691093574
0202014-960,02,020,14-960,798,530,25,22,2,794,564,9
0202014-965,02,020,14-965,1278.277851556736,783.2095322414048,28.928434410506124,37.28552456839309,4.2142540947321825,1262.4209827357238,860.7090157886971,11.428508189464365
0202014-970,02,020,14-970,707.3431650945989,430.2532658858991,13.24553223814248,17.04166379383846,2.9670102423826545,684.4369899901191,475.7737015483435,5.632270592183921
0202015-300,02,020,15-300,235.70047251455256,165.02586538764263,9.99269734334988,14.100275758354332,1.748794288690717,206.10500162466673,216.05145968782432,2.7277663602294964
0202015-305,02,020,15-305,592,475,29,19,4,583,532,10.999999999999998
0202015-310,02,020,15-310,321,391,20,9,4,325,401,8
0202015-315,02,020,15-315,296.00495312967104,328.00299445238824,14.000086314592123,12.00011951251217,4.000019918752028,315.00478050048685,330.00331979200473,1.0000398375040567
0202015-320,02,020,15-320,275.518645979598,380.85848186936124,16.206851716956173,13.505887552137779,6.302594182174378,290.8238317864736,388.96340781415375,4.501895846876396
0202016-325,02,020,16-325,252,323,9,5,0,247,329,9
0202016-330,02,020,16-330,432,595,13,31,6,429.00000000000006,634,3
0202016-335,02,020,16-335,356.0112169664571,359.0062502499662,12.000446446426153,9.00066966963923,1.0000558058032691,350.00948698655577,387.00898473432636,1.0001116116065383
0202016-340,02,020,16-340,348,483,28,21,2,370,503,5
0202016-345,02,020,16-345,347,384,12,14,2,355,398,1
0202016-350,02,020,16-350,711,767,19,12,0,743,756,2
0202016-355,02,020,16-355,334,387,16,14,3,329,421,2
0202017-400,02,020,17-400,334,584,7,18,0,342,600,4
0202017-405,02,020,17-405,154,307,4,12,0,175,299,2
0202017-410,02,020,17-410,276,430,15,9,3,301,421,9
0202017-415,02,020,17-415,309,368,20,18,0,312,397,0
0202017-420,02,020,17-420,685,826,24,20,3,709,853,1
0202017-425,02,020,17-425,282,480,20,17,0,301,498,0
0202017-430,02,020,17-430,246.95347551342815,313.9408555109977,17.996609551585852,5.998869850528618,0,239.95479402114475,342.935393121886,0.9998116417547698
0202018-435,02,020,18-435,226,391,1,29,0,265,377,1
0202018-440,02,020,18-440,189,314,11,7,0,199,326,0
0202018-445,02,020,18-445,305,412,13,10,0,289,459,4
0202018-450,02,020,18-450,261,324,14,6,5,278,327,1
0202018-455,02,020,18-455,253,376,20,10,0,254,408,3
0202018-460,02,020,18-460,293,686,10,33,2,316,699,6
0202018-465,02,020,18-465,142,257,7,14,0,156,256,0
0202018-470,02,020,18-470,102,190,6,0,1,95,202,0
0202018-475,02,020,18-475,219,253,8,6,3,222,262,6
0202018-480,02,020,18-480,332,695,8,17,1,357,690,1
0202019-500,02,020,19-500,184,317,13,13,6,185,338,5
0202019-505,02,020,19-505,214,357,21,10,1,237,358,4
0202019-510,02,020,19-510,320,419,11,9,0,329,428,0
0202019-515,02,020,19-515,176.04652448657188,161.0591444890023,12.003390448414144,10.001130149471381,0,174.04520597885528,183.06460687811398,1.8835824523028314e-4
0202019-520,02,020,19-520,259,452,16,15,4,270,475,2
0202019-525,02,020,19-525,282,850,12,9,5,316,820,7
0202020-530,02,020,20-530,244.99394580153978,431.8885684241153,12.527860819185774,22.154131338682408,3.8475705341186224,238.11748577493066,471.5158911573332,7.695141068237245
0202020-535,02,020,20-535,462,759,24,31,3,482.99999999999994,781,5
0202020-540,02,020,20-540,117.96679259735751,244.93105242671686,0,4.9985929066676915,0,113.96791827202335,248.92992675205102,0
0202020-545,02,020,20-545,164,404,9,30,0,200,397,1
0202020-550,02,020,20-550,94,138,9,11,12,109,145,0
0202020-555,02,020,20-555,273,599,20,11,3,293,614,1
0202020-560,02,020,20-560,209,631,2,28,0,223,638,4
0202020-565,02,020,20-565,146,358,2,2,0,144,367,1
0202020-570,02,020,20-570,235,468,20,9,2,259,477,4
0202021-600,02,020,21-600,391,823,10,30,1,415,835,5
0202021-605,02,020,21-605,505.66102400726396,532.0688531140263,12.714880681033717,20.539422638592928,0.9780677446949013,521.3101079223824,537.9372595821957,1.9561354893898026
0202021-610,02,020,21-610,425,475,19,20,3,413,527,0
0202021-615,02,020,21-615,352,402.99999999999994,17,16,0,349,435,1
0202021-620,02,020,21-620,365,394,13,13,0,374,407,0
0202021-625,02,020,21-625,432,676,14,16,6,417,707,13
0202021-630,02,020,21-630,222,361,3,6,0,230,362,0
0202021-635,02,020,21-635,442,722,25,19,2,426,782,9
0202022-640,02,020,22-640,642,534,16,28,8,651,561,1
0202022-645,02,020,22-645,1043,866,24,42,5,1072,901,2
0202022-650,02,020,22-650,421,327,10,11,0,405,361,0
0202022-655,02,020,22-655,414,401,9,11,1,406,432,2
0202022-660,02,020,22-660,690,669,16,27,1,691,706,2
0202022-665,02,020,22-665,507,446,15,17,4,502,483,2
0202022-670,02,020,22-670,281,226,4,5,0,303,212,4
0202023-735,02,020,23-735,236,272,1,5,3,247,266,2
0202023-740,02,020,23-740,415,440,25,17,0,424,471,4
0202023-745,02,020,23-745,231,246,2,7,0,218,261,0
0202023-750,02,020,23-750,455,444,23,20,3,444,489,1
0202023-755,02,020,23-755,478,389,18,17,0,476,421,7
0202023-760,02,020,23-760,301,272,12,13,6,314,285,1
0202023-765,02,020,23-765,506.99999999999994,493,21,13,0,510,518,3
0202023-770,02,020,23-770,304,285,11,2,1,277,325,2
0202024-700,02,020,24-700,572,450,23,12,3,591,464,7
0202024-705,02,020,24-705,445,402,10,19,0,457,407,4
0202024-710,02,020,24-710,742,556,14,22,7,765,571,0
0202024-715,02,020,24-715,576,506.00000000000006,14,21,0,596,513,4
0202024-720,02,020,24-720,541,482,14,19,0,554,499,0
0202024-725,02,020,24-725,685,585,20,18,1,703,592,10
0202024-730,02,020,24-730,917,791,22,35,1,956,809,1
0202025-840,02,020,25-840,161,158,2,3,1,174,145,1
0202025-845,02,020,25-845,767,810,21,22,3,780,836,6
0202025-850,02,020,25-850,547,693,12,18,0,550,715,2
0202025-855,02,020,25-855,597,535,20,14,0,602,566,4
0202025-860,02,020,25-860,457,474,16,13,2,451,509,0
0202025-865,02,020,25-865,441,369,15,20,0,444,394,2
0202025-870,02,020,25-870,552,599,13,31,5,555,636,2
0202026-800,02,020,26-800,636,495,29,17,3,617,553,8
0202026-805,02,020,26-805,633,510.00000000000006,13,21,0,677,495,1
0202026-810,02,020,26-810,606,357,15,11,1,621,360,3
0202026-815,02,020,26-815,826,554,7,28,8,820,592,6
0202026-820,02,020,26-820,767,642,17,21,0,812,628,5
0202026-825,02,020,26-825,452.99999999999994,431,15,13,0,469,438,4
0202026-830,02,020,26-830,308,260,0,9,0,301,277,0
0202026-835,02,020,26-835,224,260,9,9,0,232,270,1
0202027-900,02,020,27-900,703,710,24,24,3,723,733,10
0202027-905,02,020,27-905,414,336,12,13,1,402,368,3
0202027-910,02,020,27-910,621.1588978513047,559.5142934731078,16.072474091242576,21.100348741720488,0.01672479028674811,621.0139496688196,587.7874650477913,4.033449580573496
0202027-915,02,020,27-915,369.00333361830735,308.00201536441904,6.000058092544229,10.000080435830473,1.0000134059717454,351.0032174332189,331.0022343286242,6.00002681194349
0202027-920,02,020,27-920,431.0063129411325,585.0038165367972,18.0001100110385,15.000152322976387,2.000025387162731,458.0060929190555,585.0042311937885,8.000050774325462
0202027-925,02,020,27-925,478,410,11,11,0,514,389,2
0202027-930,02,020,27-930,648,818,23,22,6,667,839,6
0202027-935,02,020,27-935,119.00319916995996,176.00193408264334,3.000055749610562,3.0000771917684705,1.2865294745107688e-5,121.00308767073882,177.00214421579085,1.0000257305894902
0202028-105,02,020,28-105,565,486,24,36,0,578,521,5
0202028-110,02,020,28-110,1037.079734219269,810.7873754152823,14.199335548172757,17.697674418604652,0.19933554817275748,1050.8803986710964,832.0830564784053,4
0202028-115,02,020,28-115,657,440,9,31,0,671,461,0
0202028-120,02,020,28-120,703,531,18,20,4,697,580,1
0202028-125,02,020,28-125,401.9236530807298,358.1965817299841,3.8012263929092893,13.301841410316896,3.8003351329581565,398.1212680498841,382.90138931106793,5.347559706796725e-4
0202028-130,02,020,28-130,82.92012601857499,127.87682084792289,8.991338965869577,1.998075325748795,1.998075325748795,89.91338965869578,134.87008448804366,0
0202028-135,02,020,28-135,277.00013535606683,928.0003274743552,12.000021831623682,40.000008732649476,1.0000043663247364,290.00015282136576,973.000349305979,4
0202028-140,02,020,28-140,992,725,13,28,0,1026,724,0
0202028-145,02,020,28-145,574,523,3,16,0,596,519,1
0205037-746,02,050,37-746,6.341858961813462,24.499008999576287,2.026232096800025,2.9998732210110566,0,22.314877265662524,15.552010420417059,0
0205038-800,02,050,38-800,50.56484819649754,121.29629951149961,8.072568384747857,8.998167588973763,0,120.69899049983583,60.4942121726054,0
0205038-802,02,050,38-802,25.497509485339805,93.490864908538,3.7774087507226515,2.8330565630419886,0,50.050667702515135,77.4368761297115,0
0205038-804,02,050,38-804,55.037439594895076,93.04470332140278,9.004214086112743,9.001839955410588,0,76.05074530167329,88.03747382808442,0
0205038-806,02,050,38-806,12.742123301087664,54.58347606219613,3.0604452063179792,7.202226031589895,0,36.78553085587815,40.857962348472505,0
0205038-808,02,050,38-808,228,518,14,17,0,307,464,1
0205038-810,02,050,38-810,222.4974486402238,516.2711362387877,14.447886275339208,20.227040785474895,1.9263848367118945,307.2583814555472,462.33236081085465,4.8159620917797366
0205038-812,02,050,38-812,49,154,12,12,0,51,177,2
0205038-814,02,050,38-814,10.979027235353792,14.971429247325771,1.9961851882952515,1.4235921665801776e-5,0,13.973316881064722,13.973335862293611,0
0205038-816,02,050,38-816,12.657894736842104,18.5,0.9736842105263158,0,0,11.68421052631579,20.447368421052634,0
0205038-818,02,050,38-818,34.398825434493325,130.7228672586537,1.783207591176136,4.853600089353657,0.07362601796759405,76.5834121684149,95.03706485198114,0.18558953343818796
0205038-820,02,050,38-820,31.001048949659495,89.00328441614694,3.0000687835842292,6.0001375671684585,1.719589605732537e-5,30.00261377620071,99.00190874446236,3.439179211465074e-5
0205038-822,02,050,38-822,17.583170979738348,85.51259972869633,0.03644818623364672,2.1822409311682334,0,42.47615154246269,62.8565323764907,0
0205038-824,02,050,38-824,43,128,6,14,1,70,119,1
0205038-826,02,050,38-826,24.000000000000004,72,4,10,4,49,61.00000000000001,2
